t, 129.85009430663195, ax, -11.42681884765625, ay, -97.3612060546875, wz, -0.22880883514881134
t, 129.9573443060508, ax, 485.09332275390625, ay, -246.04498291015625, wz, -0.22045296430587769
t, 130.05634430551436, ax, -483.4302978515625, ay, -71.62017822265625, wz, -0.18879792094230652
t, 130.15534430497792, ax, -10.218414306640625, ay, -60.83412170410156, wz, -0.1617603451013565
t, 130.25434430444147, ax, -12.9708251953125, ay, -143.53952026367188, wz, -0.24351178109645844
t, 130.35334430390503, ax, 1.9800872802734375, ay, -188.3717041015625, wz, -0.2196277379989624
t, 130.4523443033686, ax, 2.5756988525390625, ay, -78.22259521484375, wz, -0.18796220421791077
t, 130.55134430283215, ax, -10.54388427734375, ay, -60.51995086669922, wz, -0.16130821406841278
t, 130.6503443022957, ax, -15.437835693359375, ay, -196.60018920898438, wz, -0.24661630392074585
t, 130.75759430171456, ax, 499.6179504394531, ay, -177.6107177734375, wz, -0.21272607147693634
t, 130.85659430117812, ax, -495.31866455078125, ay, -57.8460693359375, wz, -0.18199317157268524
t, 130.95559430064168, ax, -11.37554931640625, ay, -79.1795654296875, wz, -0.22079986333847046
t, 131.05459430010524, ax, -11.747406005859375, ay, -231.05850219726562, wz, -0.24017280340194702
t, 131.1535942995688, ax, 10.605148315429688, ay, -102.70795440673828, wz, -0.20665840804576874
t, 131.25259429903235, ax, -9.020538330078125, ay, -67.54437255859375, wz, -0.17693783342838287
t, 131.3515942984959, ax, -15.9554443359375, ay, -129.00518798828125, wz, -0.28896647691726685
t, 131.45059429795947, ax, -14.7635498046875, ay, -326.9283142089844, wz, -0.2995208501815796
t, 131.55784429737832, ax, 508.2695007324219, ay, -158.70281982421875, wz, -0.2520799934864044
t, 131.65684429684188, ax, -509.8380126953125, ay, -61.54559326171875, wz, -0.21380460262298584
t, 131.75584429630544, ax, -19.865249633789062, ay, -172.25576782226562, wz, -0.28637534379959106
t, 131.854844295769, ax, 6.683807373046875, ay, -182.7386016845703, wz, -0.25107985734939575
t, 131.95384429523256, ax, 0.006744384765625, ay, -82.0114974975586, wz, -0.2124117612838745
t, 132.05284429469611, ax, -12.791919708251953, ay, -63.72365951538086, wz, -0.1799561232328415
t, 132.15184429415967, ax, -0.39383697509765625, ay, -54.09386444091797, wz, -0.1529201716184616
t, 132.25084429362323, ax, 0.8718910217285156, ay, -46.265525817871094, wz, -0.13011127710342407
t, 132.3580942930421, ax, 485.5330810546875, ay, -75.99191284179688, wz, -0.1773497313261032
t, 132.45709429250564, ax, -503.99969482421875, ay, -233.08966064453125, wz, -0.21116743981838226
t, 132.5560942919692, ax, 10.937156677246094, ay, -96.76316833496094, wz, -0.18144913017749786
t, 132.65509429143276, ax, -6.899959564208984, ay, -58.76913070678711, wz, -0.15471971035003662
t, 132.75409429089632, ax, -5.922557830810547, ay, -48.88998031616211, wz, -0.13264869153499603
t, 132.85309429035988, ax, -12.647140502929688, ay, -201.70877075195312, wz, -0.2362944781780243
t, 132.95209428982344, ax, 6.9924774169921875, ay, -157.52540588378906, wz, -0.20763984322547913
t, 133.051094289287, ax, -2.1995468139648438, ay, -71.40403747558594, wz, -0.17761394381523132
t, 133.15009428875055, ax, -10.60183334350586, ay, -68.54527282714844, wz, -0.19756253063678741
t, 133.2573442881694, ax, 475.0848693847656, ay, -277.1041259765625, wz, -0.24486570060253143
t, 133.35634428763296, ax, -477.9481506347656, ay, -100.91876220703125, wz, -0.21097834408283234
t, 133.45534428709652, ax, -9.326835632324219, ay, -69.33084869384766, wz, -0.18067461252212524
t, 133.55434428656008, ax, -14.508415222167969, ay, -119.5116958618164, wz, -0.2557477355003357
t, 133.65334428602364, ax, -4.156890869140625, ay, -224.1332244873047, wz, -0.24172040820121765
t, 133.7523442854872, ax, 7.4727783203125, ay, -91.36446380615234, wz, -0.20726026594638824
t, 133.85134428495076, ax, -11.88515853881836, ay, -67.09861755371094, wz, -0.1777600646018982
t, 133.9503442844143, ax, -16.177078247070312, ay, -167.9891357421875, wz, -0.26200470328330994
t, 134.05759428383317, ax, 495.7773132324219, ay, -216.79434204101562, wz, -0.23015789687633514
t, 134.15659428329673, ax, -491.42120361328125, ay, -65.22076416015625, wz, -0.19695816934108734
t, 134.25559428276028, ax, -11.239936828613281, ay, -64.84789276123047, wz, -0.17866677045822144
t, 134.35459428222384, ax, -19.766387939453125, ay, -243.36883544921875, wz, -0.27853816747665405
t, 134.4535942816874, ax, 11.845977783203125, ay, -164.805908203125, wz, -0.2428954690694809
t, 134.55259428115096, ax, -4.827751159667969, ay, -81.22163391113281, wz, -0.20714209973812103
t, 134.65159428061452, ax, -14.778282165527344, ay, -86.65152740478516, wz, -0.2454347461462021
t, 134.75059428007808, ax, -20.433273315429688, ay, -292.7647399902344, wz, -0.29316073656082153
t, 134.85784427949693, ax, 508.0738830566406, ay, -168.130126953125, wz, -0.24792887270450592
t, 134.9568442789605, ax, -504.610595703125, ay, -61.49395751953125, wz, -0.21024760603904724
t, 135.05584427842405, ax, -17.855106353759766, ay, -134.47178649902344, wz, -0.2707768976688385
t, 135.1548442778876, ax, 0.9359207153320312, ay, -191.5016632080078, wz, -0.2426927238702774
t, 135.25384427735116, ax, 3.879913330078125, ay, -82.34843444824219, wz, -0.2057776004076004
t, 135.35284427681472, ax, -11.846715927124023, ay, -62.44422149658203, wz, -0.17450763285160065
t, 135.45184427627828, ax, -1.8844871520996094, ay, -52.838706970214844, wz, -0.1485280692577362
t, 135.55084427574184, ax, -9.36928939819336, ay, -160.84866333007812, wz, -0.22159737348556519
t, 135.6580942751607, ax, 493.61798095703125, ay, -165.29934692382812, wz, -0.1901489645242691
